%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553888092459973417,64.0,0.0,14.0,0.0,64.0,28.0
1553888092509927668,61.0,0.0,14.0,0.0,62.0,27.0
1553888092562635334,54.0,0.0,15.0,0.0,54.0,27.0
1553888092612557300,59.0,0.0,16.0,0.0,58.0,27.0
1553888092664615077,56.0,0.0,18.0,0.0,56.0,25.0
1553888092714358146,56.0,0.0,18.0,0.0,56.0,27.0
1553888092767456612,56.0,0.0,15.0,0.0,56.0,27.0
1553888092817106141,58.0,0.0,19.0,0.0,58.0,27.0
1553888092870018350,57.0,0.0,18.0,0.0,57.0,27.0
1553888092922716702,66.0,0.0,14.0,0.0,65.0,27.0
1553888092972268563,62.0,0.0,14.0,0.0,62.0,27.0
1553888093025162326,63.0,0.0,15.0,0.0,64.0,27.0
1553888093074497499,67.0,0.0,16.0,0.0,65.0,26.0
1553888093127901908,62.0,0.0,16.0,0.0,62.0,27.0
1553888093177229413,62.0,0.0,13.0,0.0,61.0,27.0
1553888093230368165,54.0,0.0,17.0,0.0,56.0,27.0
1553888093279267676,56.0,0.0,16.0,0.0,56.0,26.0
1553888093332491798,60.0,0.0,13.0,0.0,60.0,26.0
1553888093385858300,58.0,0.0,15.0,0.0,58.0,27.0
1553888093435369291,55.0,0.0,17.0,0.0,56.0,29.0
1553888093488500473,58.0,0.0,16.0,0.0,57.0,30.0
1553888093537583161,56.0,0.0,14.0,0.0,56.0,28.0
1553888093590859967,56.0,0.0,15.0,0.0,55.0,29.0
1553888093639758253,59.0,0.0,15.0,0.0,59.0,29.0
1553888093692914651,61.0,0.0,12.0,0.0,60.0,29.0
1553888093742429729,62.0,0.0,13.0,0.0,62.0,29.0
1553888093795287940,66.0,0.0,13.0,0.0,65.0,29.0
1553888093844627084,67.0,0.0,14.0,0.0,67.0,29.0
1553888093898375702,68.0,0.0,15.0,0.0,68.0,29.0
1553888093950861822,63.0,0.0,13.0,0.0,65.0,28.0
1553888094000959217,67.0,0.0,14.0,0.0,65.0,29.0
1553888094053423811,59.0,0.0,15.0,0.0,59.0,30.0
1553888094103283885,59.0,0.0,16.0,0.0,60.0,30.0
1553888094155944652,66.0,0.0,16.0,0.0,65.0,30.0
1553888094204983362,61.0,0.0,14.0,0.0,62.0,29.0
1553888094258210142,61.0,0.0,15.0,0.0,61.0,29.0
1553888094307777467,62.0,0.0,15.0,0.0,64.0,30.0
1553888094360782996,59.0,0.0,16.0,0.0,59.0,29.0
1553888094413900381,56.0,0.0,14.0,2.0,56.0,29.0
1553888094463156433,65.0,0.0,16.0,0.0,66.0,27.0
1553888094516571928,64.0,0.0,16.0,0.0,64.0,29.0
1553888094565415723,64.0,0.0,16.0,0.0,65.0,30.0
1553888094618649086,63.0,0.0,16.0,0.0,63.0,30.0
1553888094667948247,63.0,0.0,15.0,0.0,63.0,29.0
1553888094721140803,60.0,0.0,18.0,0.0,60.0,29.0
1553888094770414408,63.0,0.0,15.0,0.0,64.0,30.0
1553888094823562359,54.0,0.0,14.0,0.0,54.0,30.0
1553888094877075399,55.0,0.0,15.0,0.0,54.0,28.0
1553888094925908558,54.0,0.0,13.0,0.0,54.0,29.0
1553888094979392151,57.0,0.0,12.0,0.0,57.0,29.0
1553888095029056983,62.0,0.0,13.0,0.0,62.0,29.0
1553888095081672021,59.0,0.0,16.0,0.0,59.0,29.0
1553888095134546507,59.0,0.0,14.0,0.0,58.0,28.0
1553888095183870353,55.0,0.0,14.0,0.0,56.0,28.0
1553888095237509007,58.0,0.0,14.0,0.0,57.0,28.0
1553888095286698738,51.0,0.0,14.0,0.0,50.0,27.0
1553888095340142011,56.0,0.0,15.0,0.0,56.0,28.0
1553888095389398761,57.0,0.0,15.0,0.0,58.0,28.0
1553888095441976845,62.0,0.0,15.0,0.0,62.0,28.0
1553888095491215410,54.0,0.0,14.0,0.0,54.0,28.0
1553888095544505099,49.0,0.0,16.0,0.0,49.0,27.0
1553888095597599365,51.0,0.0,14.0,0.0,51.0,27.0
1553888095647767317,51.0,0.0,14.0,0.0,51.0,28.0
1553888095700310666,53.0,0.0,14.0,0.0,53.0,28.0
1553888095749440529,50.0,0.0,11.0,0.0,49.0,28.0
1553888095802583701,45.0,0.0,12.0,0.0,46.0,28.0
1553888095851649506,49.0,0.0,13.0,0.0,49.0,28.0
1553888095904776919,51.0,0.0,16.0,0.0,51.0,27.0
1553888095954050443,51.0,0.0,15.0,0.0,50.0,28.0
1553888096007975951,51.0,0.0,16.0,0.0,51.0,28.0
1553888096060710036,46.0,0.0,18.0,0.0,46.0,28.0
1553888096110169849,58.0,0.0,16.0,0.0,58.0,27.0
1553888096163076033,53.0,0.0,18.0,0.0,51.0,28.0
1553888096212612036,53.0,0.0,14.0,0.0,53.0,28.0
1553888096265489286,48.0,0.0,15.0,0.0,49.0,28.0
1553888096314774300,51.0,0.0,14.0,0.0,52.0,28.0
1553888096368292693,53.0,0.0,13.0,0.0,53.0,28.0
1553888096417277413,54.0,0.0,14.0,0.0,54.0,27.0
1553888096470449856,55.0,0.0,13.0,0.0,55.0,28.0
1553888096524302681,54.0,0.0,14.0,0.0,52.0,28.0
1553888096572444865,62.0,0.0,14.0,0.0,61.0,28.0
1553888096626134290,61.0,0.0,13.0,0.0,61.0,28.0
1553888096674957554,62.0,0.0,17.0,0.0,62.0,27.0
1553888096728198640,59.0,0.0,18.0,0.0,60.0,28.0
1553888096777466827,51.0,0.0,16.0,0.0,52.0,28.0
1553888096830622935,66.0,0.0,21.0,0.0,66.0,28.0
1553888096879817684,66.0,0.0,22.0,0.0,67.0,28.0
1553888096932990189,66.0,0.0,16.0,0.0,66.0,28.0
1553888096986187823,61.0,0.0,21.0,0.0,62.0,29.0
1553888097035640212,63.0,0.0,20.0,0.0,62.0,27.0
1553888097088612128,61.0,0.0,25.0,0.0,62.0,28.0
1553888097137833342,56.0,0.0,23.0,0.0,56.0,28.0
1553888097191547973,56.0,0.0,35.0,1.0,58.0,30.0
1553888097240262674,62.0,0.0,47.0,19.0,62.0,38.0
1553888097293897742,73.0,0.0,111.0,97.0,72.0,71.0
1553888097342773841,76.0,0.0,146.0,77.0,77.0,74.0
1553888097396284925,72.0,0.0,147.0,79.0,72.0,78.0
1553888097449546696,69.0,0.0,119.0,71.0,69.0,77.0
1553888097498625811,75.0,0.0,137.0,57.0,73.0,70.0
1553888097551885749,70.0,0.0,235.0,62.0,69.0,73.0
1553888097600736313,65.0,0.0,159.0,82.0,67.0,82.0
1553888097654055781,63.0,0.0,122.0,102.0,62.0,94.0
1553888097707980223,69.0,0.0,147.0,71.0,68.0,84.0
1553888097756429505,65.0,0.0,155.0,57.0,65.0,75.0
1553888097809487833,70.0,0.0,97.0,50.0,70.0,72.0
1553888097858719184,63.0,0.0,123.0,47.0,63.0,69.0
1553888097911970496,64.0,0.0,121.0,51.0,64.0,70.0
1553888097961731722,60.0,0.0,103.0,69.0,60.0,78.0
1553888098014403059,66.0,0.0,103.0,55.0,64.0,71.0
1553888098063594887,63.0,0.0,118.0,59.0,64.0,75.0
1553888098116965320,63.0,0.0,79.0,57.0,66.0,75.0
1553888098170031559,63.0,0.0,78.0,51.0,64.0,70.0
1553888098219344705,65.0,0.0,107.0,46.0,63.0,68.0
1553888098272347477,64.0,0.0,97.0,50.0,62.0,69.0
1553888098321634971,57.0,0.0,77.0,48.0,58.0,68.0
1553888098375225299,59.0,0.0,106.0,42.0,60.0,66.0
1553888098424037344,59.0,0.0,93.0,42.0,60.0,64.0
1553888098477273252,56.0,0.0,56.0,42.0,55.0,63.0
1553888098526966294,61.0,0.0,119.0,39.0,62.0,63.0
1553888098580085467,62.0,0.0,148.0,42.0,62.0,63.0
1553888098633279442,72.0,0.0,90.0,50.0,72.0,66.0
1553888098682044159,67.0,0.0,117.0,52.0,66.0,69.0
1553888098735317173,61.0,0.0,109.0,55.0,62.0,70.0
1553888098784821336,59.0,0.0,80.0,48.0,59.0,68.0
1553888098838017489,64.0,0.0,128.0,50.0,64.0,68.0
1553888098887431315,67.0,0.0,190.0,54.0,67.0,71.0
1553888098940006859,61.0,0.0,87.0,47.0,62.0,68.0
1553888098989254828,61.0,0.0,101.0,53.0,62.0,70.0
1553888099042606283,59.0,0.0,109.0,36.0,59.0,62.0
1553888099095722278,56.0,0.0,85.0,30.0,56.0,57.0
1553888099145095000,57.0,0.0,102.0,29.0,57.0,57.0
1553888099198119039,64.0,0.0,153.0,25.0,64.0,54.0
1553888099247668307,58.0,0.0,101.0,37.0,58.0,57.0
1553888099300634905,65.0,0.0,164.0,52.0,64.0,65.0
1553888099350133239,58.0,0.0,174.0,52.0,58.0,67.0
1553888099403459157,61.0,0.0,89.0,68.0,61.0,75.0
1553888099452355785,59.0,0.0,162.0,60.0,59.0,74.0
1553888099505718213,64.0,0.0,157.0,50.0,64.0,69.0
1553888099554956689,57.0,0.0,76.0,32.0,57.0,61.0
1553888099608152095,54.0,0.0,80.0,17.0,54.0,51.0
1553888099661245344,58.0,0.0,83.0,19.0,57.0,51.0
1553888099710548348,63.0,0.0,68.0,40.0,63.0,58.0
1553888099764330294,60.0,0.0,106.0,32.0,59.0,57.0
1553888099812762871,63.0,0.0,96.0,32.0,64.0,56.0
1553888099865773175,65.0,0.0,78.0,42.0,67.0,60.0
1553888099915269221,74.0,0.0,100.0,34.0,71.0,59.0
1553888099969667974,68.0,0.0,71.0,30.0,68.0,56.0
1553888100021736536,65.0,0.0,76.0,24.0,65.0,53.0
1553888100071185640,67.0,0.0,164.0,35.0,68.0,57.0
1553888100124437915,64.0,0.0,122.0,36.0,64.0,58.0
1553888100173595288,66.0,0.0,89.0,29.0,66.0,56.0
1553888100226759741,64.0,0.0,104.0,25.0,63.0,53.0
1553888100280255919,65.0,0.0,76.0,28.0,68.0,53.0
1553888100329607518,67.0,0.0,125.0,25.0,66.0,52.0
1553888100381900641,64.0,0.0,124.0,27.0,64.0,53.0
1553888100432485554,60.0,0.0,64.0,36.0,59.0,56.0
1553888100484339765,56.0,0.0,68.0,39.0,56.0,58.0
1553888100533677351,53.0,0.0,75.0,28.0,54.0,54.0
1553888100587829276,52.0,0.0,65.0,29.0,51.0,54.0
1553888100636472302,58.0,0.0,103.0,32.0,55.0,55.0
1553888100689509826,58.0,0.0,58.0,22.0,58.0,50.0
1553888100742709829,58.0,0.0,52.0,28.0,60.0,53.0
1553888100792079981,61.0,0.0,94.0,23.0,60.0,50.0
1553888100844889497,56.0,0.0,61.0,23.0,56.0,50.0
1553888100894427906,55.0,0.0,85.0,31.0,55.0,53.0
1553888100947412532,54.0,0.0,114.0,17.0,56.0,48.0
1553888100996590041,52.0,0.0,59.0,16.0,53.0,46.0
1553888101049622742,58.0,0.0,48.0,19.0,58.0,46.0
1553888101098908364,55.0,0.0,60.0,11.0,55.0,44.0
1553888101152628490,52.0,0.0,56.0,15.0,52.0,44.0
1553888101201613712,54.0,0.0,71.0,14.0,53.0,42.0
1553888101254904765,54.0,0.0,104.0,18.0,54.0,44.0
1553888101308183408,58.0,0.0,114.0,19.0,58.0,45.0
1553888101357762731,58.0,0.0,139.0,34.0,57.0,52.0
1553888101410487483,69.0,0.0,243.0,39.0,69.0,56.0
1553888101459319255,66.0,0.0,198.0,32.0,66.0,53.0
1553888101512689908,66.0,0.0,186.0,35.0,67.0,55.0
1553888101562245189,66.0,0.0,235.0,35.0,67.0,56.0
1553888101614925105,71.0,0.0,215.0,30.0,71.0,54.0
1553888101665217525,68.0,0.0,178.0,26.0,69.0,52.0
1553888101717850258,72.0,0.0,232.0,32.0,72.0,53.0
1553888101770831149,69.0,0.0,139.0,38.0,70.0,57.0
1553888101820340207,73.0,0.0,255.0,54.0,76.0,65.0
1553888101872950526,74.0,0.0,186.0,66.0,74.0,72.0
