%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969415847558485,35.0,0.0,11.0,6.0,35.0,64.0
1553969415900733986,35.0,0.0,11.0,1.0,35.0,36.0
1553969415949972505,35.0,0.0,11.0,0.0,34.0,70.0
1553969416003177627,34.0,0.0,11.0,6.0,34.0,34.0
1553969416052381788,36.0,0.0,10.0,1.0,36.0,59.0
1553969416105570257,34.0,0.0,11.0,1.0,34.0,33.0
1553969416154913020,36.0,0.0,11.0,1.0,36.0,30.0
1553969416208406042,36.0,0.0,11.0,0.0,35.0,61.0
1553969416261181527,36.0,0.0,11.0,0.0,36.0,33.0
1553969416310383114,35.0,0.0,11.0,0.0,36.0,69.0
1553969416363589652,35.0,0.0,11.0,0.0,33.0,31.0
1553969416412852798,35.0,0.0,11.0,0.0,35.0,53.0
1553969416466016380,35.0,0.0,11.0,0.0,35.0,31.0
1553969416515236215,33.0,0.0,11.0,0.0,35.0,31.0
1553969416568450926,34.0,0.0,11.0,0.0,34.0,57.0
1553969416617676897,35.0,0.0,13.0,0.0,35.0,31.0
1553969416670906620,34.0,0.0,10.0,0.0,34.0,66.0
1553969416724031469,33.0,0.0,11.0,0.0,34.0,30.0
1553969416773296639,33.0,0.0,11.0,0.0,33.0,54.0
1553969416826427950,33.0,0.0,11.0,0.0,33.0,33.0
1553969416875692434,35.0,0.0,12.0,0.0,35.0,31.0
1553969416928916705,33.0,0.0,11.0,0.0,34.0,57.0
1553969416978102865,35.0,0.0,11.0,0.0,35.0,31.0
1553969417031283327,34.0,0.0,13.0,0.0,34.0,67.0
1553969417080522815,34.0,0.0,9.0,0.0,34.0,29.0
1553969417133834520,34.0,0.0,11.0,0.0,35.0,53.0
1553969417187017580,33.0,0.0,11.0,0.0,33.0,32.0
1553969417236193229,34.0,0.0,11.0,0.0,34.0,30.0
1553969417289457670,34.0,0.0,11.0,0.0,34.0,55.0
1553969417338664410,34.0,0.0,11.0,0.0,35.0,30.0
1553969417391754158,33.0,0.0,11.0,0.0,35.0,67.0
1553969417440968996,34.0,0.0,11.0,0.0,33.0,28.0
1553969417494215975,36.0,0.0,11.0,0.0,35.0,54.0
1553969417544027893,34.0,0.0,11.0,0.0,34.0,32.0
1553969417596653785,35.0,0.0,11.0,0.0,34.0,30.0
1553969417645878785,33.0,0.0,11.0,0.0,34.0,53.0
1553969417699071432,35.0,0.0,11.0,0.0,35.0,29.0
1553969417752265839,35.0,0.0,11.0,0.0,35.0,65.0
1553969417801494897,34.0,0.0,11.0,0.0,37.0,30.0
1553969417854676252,35.0,0.0,11.0,0.0,35.0,43.0
1553969417908064551,33.0,0.0,10.0,0.0,33.0,35.0
1553969417957259159,34.0,0.0,11.0,0.0,34.0,30.0
1553969418010408999,34.0,0.0,11.0,0.0,33.0,62.0
1553969418059514089,35.0,0.0,11.0,0.0,35.0,29.0
1553969418112687345,35.0,0.0,11.0,0.0,35.0,64.0
1553969418161938281,34.0,0.0,11.0,0.0,34.0,28.0
1553969418215288750,35.0,0.0,11.0,0.0,35.0,43.0
1553969418264365495,34.0,0.0,11.0,0.0,34.0,33.0
1553969418317540000,35.0,0.0,10.0,0.0,35.0,30.0
1553969418370712108,34.0,0.0,11.0,0.0,34.0,62.0
1553969418420003438,34.0,0.0,11.0,0.0,35.0,29.0
1553969418473358637,35.0,0.0,11.0,0.0,35.0,64.0
1553969418522547462,35.0,0.0,10.0,0.0,35.0,27.0
1553969418575557001,35.0,0.0,11.0,0.0,35.0,43.0
1553969418624811436,33.0,0.0,11.0,0.0,34.0,33.0
1553969418677983615,34.0,0.0,12.0,0.0,34.0,29.0
1553969418727252786,34.0,0.0,12.0,0.0,34.0,61.0
1553969418780466524,35.0,0.0,11.0,0.0,35.0,29.0
1553969418829974467,34.0,0.0,11.0,0.0,35.0,64.0
1553969418882963939,34.0,0.0,11.0,0.0,35.0,28.0
1553969418936000097,36.0,0.0,13.0,0.0,35.0,44.0
1553969418985246536,34.0,0.0,10.0,0.0,34.0,31.0
1553969419038396422,35.0,0.0,11.0,0.0,36.0,29.0
1553969419087650220,34.0,0.0,11.0,0.0,33.0,62.0
1553969419140981975,34.0,0.0,11.0,0.0,34.0,29.0
1553969419190046253,33.0,0.0,11.0,0.0,34.0,64.0
1553969419244789540,33.0,0.0,11.0,0.0,34.0,28.0
1553969419292602938,35.0,0.0,12.0,0.0,35.0,44.0
1553969419345663833,34.0,0.0,11.0,0.0,33.0,32.0
1553969419398859954,35.0,0.0,11.0,0.0,36.0,30.0
1553969419448131105,34.0,0.0,11.0,0.0,34.0,60.0
1553969419501307841,34.0,0.0,12.0,0.0,34.0,30.0
1553969419550503369,34.0,0.0,13.0,0.0,34.0,65.0
1553969419604885442,34.0,0.0,11.0,0.0,34.0,28.0
1553969419653061154,34.0,0.0,11.0,0.0,34.0,45.0
1553969419706189127,33.0,0.0,11.0,0.0,32.0,32.0
1553969419755441541,34.0,0.0,11.0,0.0,34.0,28.0
1553969419808554317,33.0,0.0,10.0,0.0,34.0,59.0
1553969419861929313,34.0,0.0,11.0,0.0,34.0,30.0
1553969419911697429,34.0,0.0,11.0,0.0,36.0,66.0
1553969419964206155,34.0,0.0,11.0,0.0,33.0,30.0
1553969420013369353,35.0,0.0,11.0,0.0,35.0,47.0
1553969420066592631,34.0,0.0,11.0,0.0,34.0,34.0
1553969420115829717,34.0,0.0,11.0,0.0,36.0,31.0
1553969420169096000,34.0,0.0,11.0,0.0,34.0,61.0
1553969420222258804,34.0,0.0,11.0,0.0,34.0,30.0
1553969420271514602,33.0,0.0,11.0,0.0,34.0,63.0
1553969420324646786,33.0,0.0,11.0,0.0,33.0,29.0
1553969420373883917,34.0,0.0,14.0,0.0,34.0,36.0
1553969420427061374,33.0,0.0,10.0,0.0,34.0,43.0
1553969420476341202,33.0,0.0,11.0,0.0,34.0,30.0
1553969420529519825,33.0,0.0,11.0,0.0,34.0,65.0
1553969420582836300,34.0,0.0,12.0,0.0,34.0,29.0
1553969420631913886,34.0,0.0,11.0,0.0,34.0,62.0
1553969420685237053,32.0,0.0,11.0,0.0,33.0,29.0
1553969420734338631,34.0,0.0,11.0,0.0,33.0,35.0
1553969420787528566,35.0,0.0,13.0,0.0,36.0,42.0
1553969420836759890,39.0,0.0,13.0,0.0,38.0,31.0
1553969420889949619,36.0,0.0,14.0,0.0,36.0,66.0
1553969420939278044,57.0,0.0,19.0,0.0,59.0,31.0
1553969420992535431,95.0,0.0,23.0,5.0,99.0,66.0
1553969421045672228,131.0,0.0,30.0,1.0,130.0,31.0
1553969421094782016,171.0,0.0,29.0,14.0,176.0,42.0
1553969421147946380,183.0,0.0,51.0,16.0,186.0,50.0
1553969421197197333,209.0,0.0,44.0,16.0,212.0,42.0
1553969421250344517,207.0,0.0,33.0,9.0,206.0,74.0
1553969421299616629,220.0,0.0,66.0,18.0,220.0,41.0
1553969421352784593,247.0,0.0,67.0,18.0,249.0,77.0
1553969421402310033,271.0,0.0,40.0,16.0,272.0,42.0
1553969421455229705,276.0,0.0,94.0,28.0,278.0,54.0
1553969421508408666,265.0,0.0,81.0,16.0,264.0,53.0
1553969421557654406,277.0,0.0,90.0,33.0,279.0,51.0
1553969421611562202,480.0,0.0,136.0,44.0,487.0,90.0
1553969421660069200,436.0,0.0,110.0,53.0,436.0,59.0
1553969421713251253,416.0,0.0,105.0,39.0,415.0,91.0
1553969421762492673,460.0,0.0,86.0,35.0,463.0,54.0
1553969421815828176,488.0,0.0,105.0,48.0,484.0,68.0
1553969421864911790,474.0,0.0,146.0,39.0,471.0,68.0
1553969421918090665,408.0,0.0,101.0,45.0,404.0,61.0
1553969421971439943,446.0,0.0,90.0,22.0,444.0,87.0
1553969422020526520,358.0,0.0,60.0,17.0,357.0,48.0
1553969422073750935,402.0,0.0,58.0,7.0,400.0,78.0
1553969422122937850,362.0,0.0,102.0,34.0,360.0,52.0
1553969422176080408,424.0,0.0,96.0,20.0,422.0,57.0
1553969422225454074,493.0,0.0,53.0,12.0,493.0,52.0
1553969422278527240,481.0,0.0,96.0,15.0,480.0,45.0
1553969422327758871,421.0,0.0,60.0,9.0,424.0,76.0
1553969422380951927,377.0,0.0,45.0,10.0,378.0,39.0
1553969422434167888,439.0,0.0,130.0,35.0,440.0,86.0
1553969422483505844,499.0,0.0,106.0,25.0,497.0,48.0
1553969422536555980,398.0,0.0,93.0,16.0,403.0,54.0
1553969422585796729,410.0,0.0,86.0,24.0,412.0,56.0
1553969422638969440,527.0,0.0,147.0,39.0,523.0,56.0
1553969422688370536,490.0,0.0,96.0,41.0,487.0,91.0
1553969422741439394,373.0,0.0,92.0,19.0,374.0,48.0
1553969422794610938,361.0,0.0,116.0,36.0,363.0,81.0
1553969422843988859,401.0,0.0,112.0,39.0,404.0,58.0
1553969422897158694,404.0,0.0,143.0,68.0,410.0,71.0
1553969422946408625,417.0,0.0,118.0,43.0,419.0,84.0
