%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553973833238326776,98.0,105.0,13.0,0.0,0.0,0.0
1553973833287497597,96.0,116.0,12.0,0.0,0.0,0.0
1553973833340694971,95.0,103.0,13.0,0.0,0.0,0.0
1553973833390765980,96.0,112.0,13.0,0.0,0.0,0.0
1553973833443038301,93.0,104.0,12.0,0.0,0.0,0.0
1553973833492955204,98.0,107.0,13.0,0.0,0.0,0.0
1553973833545925828,95.0,114.0,12.0,0.0,0.0,0.0
1553973833599074215,99.0,107.0,13.0,0.0,0.0,0.0
1553973833647949713,94.0,116.0,12.0,0.0,0.0,0.0
1553973833701683587,96.0,104.0,12.0,0.0,0.0,0.0
1553973833750373687,96.0,112.0,14.0,0.0,0.0,0.0
1553973833803496364,94.0,106.0,14.0,0.0,0.0,0.0
1553973833852724207,96.0,105.0,12.0,0.0,0.0,0.0
1553973833906278726,94.0,114.0,13.0,0.0,0.0,0.0
1553973833955152650,98.0,106.0,14.0,0.0,0.0,0.0
1553973834008692943,93.0,115.0,13.0,0.0,0.0,0.0
1553973834061889686,95.0,104.0,13.0,0.0,0.0,0.0
1553973834111131661,97.0,112.0,13.0,0.0,0.0,0.0
1553973834164296804,93.0,105.0,12.0,0.0,0.0,0.0
1553973834213554715,98.0,105.0,11.0,0.0,0.0,0.0
1553973834266795854,94.0,113.0,13.0,0.0,0.0,0.0
1553973834316255431,98.0,106.0,13.0,0.0,0.0,0.0
1553973834369282164,94.0,115.0,13.0,0.0,0.0,0.0
1553973834418405570,95.0,104.0,14.0,0.0,0.0,0.0
1553973834471598566,97.0,109.0,13.0,0.0,0.0,0.0
1553973834524757122,93.0,107.0,11.0,0.0,0.0,0.0
1553973834574015537,96.0,106.0,13.0,0.0,0.0,0.0
1553973834627189136,91.0,115.0,12.0,0.0,0.0,0.0
1553973834676153787,98.0,105.0,12.0,0.0,0.0,0.0
1553973834729583256,95.0,114.0,12.0,0.0,0.0,0.0
1553973834782455280,95.0,103.0,12.0,0.0,0.0,0.0
1553973834832011405,97.0,107.0,12.0,0.0,0.0,0.0
1553973834884873283,93.0,109.0,12.0,0.0,0.0,0.0
1553973834934604831,98.0,107.0,13.0,0.0,0.0,0.0
1553973834987351407,94.0,115.0,12.0,0.0,0.0,0.0
1553973835036566171,96.0,105.0,14.0,0.0,0.0,0.0
1553973835089740151,98.0,114.0,12.0,0.0,0.0,0.0
1553973835139004701,94.0,105.0,12.0,0.0,0.0,0.0
1553973835192226421,97.0,107.0,13.0,0.0,0.0,0.0
1553973835245405430,93.0,110.0,12.0,0.0,0.0,0.0
1553973835294620311,98.0,106.0,13.0,0.0,0.0,0.0
1553973835347784064,93.0,116.0,13.0,0.0,0.0,0.0
1553973835397039548,97.0,104.0,13.0,0.0,0.0,0.0
1553973835450231921,96.0,113.0,11.0,0.0,0.0,0.0
1553973835499473892,94.0,104.0,12.0,0.0,0.0,0.0
1553973835552679361,97.0,106.0,13.0,0.0,0.0,0.0
1553973835601928610,93.0,111.0,12.0,0.0,0.0,0.0
1553973835655726758,97.0,105.0,13.0,0.0,0.0,0.0
1553973835704341956,93.0,116.0,12.0,0.0,0.0,0.0
1553973835757512679,96.0,104.0,12.0,0.0,0.0,0.0
1553973835810681924,95.0,113.0,13.0,0.0,0.0,0.0
1553973835860023687,94.0,104.0,11.0,0.0,0.0,0.0
1553973835913285068,95.0,105.0,13.0,0.0,0.0,0.0
1553973835962369137,94.0,112.0,13.0,0.0,0.0,0.0
1553973836015526487,98.0,107.0,13.0,0.0,0.0,0.0
1553973836064960749,94.0,118.0,12.0,0.0,0.0,0.0
1553973836117931981,95.0,104.0,13.0,0.0,0.0,0.0
1553973836167659951,94.0,112.0,13.0,0.0,0.0,0.0
1553973836220359076,93.0,104.0,13.0,0.0,0.0,0.0
1553973836273555718,96.0,105.0,13.0,0.0,0.0,0.0
1553973836323877190,93.0,112.0,13.0,0.0,0.0,0.0
1553973836376073425,98.0,106.0,12.0,0.0,0.0,0.0
1553973836425219136,93.0,115.0,12.0,0.0,0.0,0.0
1553973836478372132,95.0,104.0,13.0,0.0,0.0,0.0
1553973836527647853,95.0,111.0,13.0,0.0,0.0,0.0
1553973836580812748,93.0,105.0,14.0,0.0,0.0,0.0
1553973836630061016,96.0,106.0,14.0,0.0,0.0,0.0
