%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969136909777939,49.0,0.0,15.0,52.0,48.0,80.0
1553969136963075966,50.0,0.0,15.0,52.0,49.0,73.0
1553969137011827276,50.0,0.0,15.0,50.0,50.0,108.0
1553969137065137506,51.0,0.0,14.0,52.0,51.0,71.0
1553969137114259070,50.0,0.0,15.0,51.0,50.0,108.0
1553969137167420127,50.0,0.0,15.0,52.0,50.0,70.0
1553969137220740417,50.0,0.0,15.0,54.0,50.0,81.0
1553969137269979527,49.0,0.0,14.0,51.0,50.0,80.0
1553969137323025605,50.0,0.0,15.0,52.0,50.0,72.0
1553969137372268110,49.0,0.0,15.0,52.0,51.0,108.0
1553969137425596553,51.0,0.0,16.0,52.0,51.0,69.0
1553969137474820848,51.0,0.0,16.0,51.0,51.0,107.0
1553969137527861399,50.0,0.0,15.0,51.0,50.0,70.0
1553969137577148988,50.0,0.0,15.0,52.0,51.0,81.0
1553969137630302854,49.0,0.0,17.0,51.0,48.0,81.0
1553969137679541614,50.0,0.0,15.0,52.0,50.0,73.0
1553969137732725014,50.0,0.0,15.0,51.0,50.0,108.0
1553969137785921385,50.0,0.0,15.0,52.0,50.0,70.0
1553969137835282365,50.0,0.0,15.0,51.0,50.0,107.0
1553969137888356649,47.0,0.0,16.0,51.0,48.0,71.0
1553969137941552513,53.0,0.0,13.0,51.0,51.0,72.0
1553969137990818138,49.0,0.0,15.0,51.0,50.0,97.0
1553969138043974936,51.0,0.0,15.0,52.0,52.0,72.0
1553969138093192662,51.0,0.0,15.0,51.0,51.0,110.0
1553969138146427694,50.0,0.0,15.0,51.0,50.0,70.0
1553969138195622150,50.0,0.0,15.0,51.0,50.0,98.0
1553969138248895565,49.0,0.0,15.0,51.0,48.0,73.0
1553969138298154952,50.0,0.0,16.0,52.0,50.0,72.0
1553969138351263064,49.0,0.0,13.0,51.0,47.0,97.0
1553969138404414580,48.0,0.0,15.0,52.0,49.0,72.0
1553969138453651777,49.0,0.0,15.0,51.0,49.0,111.0
1553969138506860846,51.0,0.0,14.0,52.0,50.0,71.0
1553969138556480829,49.0,0.0,15.0,52.0,47.0,98.0
1553969138609263166,50.0,0.0,14.0,52.0,50.0,73.0
1553969138658563182,49.0,0.0,15.0,52.0,50.0,73.0
1553969138711692672,48.0,0.0,14.0,50.0,48.0,97.0
1553969138760923189,49.0,0.0,16.0,50.0,48.0,72.0
1553969138814116677,49.0,0.0,15.0,50.0,49.0,110.0
1553969138867312003,50.0,0.0,15.0,50.0,50.0,70.0
1553969138917340447,50.0,0.0,16.0,50.0,50.0,94.0
1553969138969694147,49.0,0.0,14.0,49.0,49.0,72.0
1553969139018984969,51.0,0.0,14.0,52.0,51.0,71.0
1553969139073165752,49.0,0.0,15.0,51.0,52.0,100.0
1553969139121527010,50.0,0.0,14.0,51.0,50.0,72.0
1553969139174545189,50.0,0.0,14.0,50.0,47.0,110.0
1553969139223802677,50.0,0.0,13.0,51.0,51.0,70.0
1553969139277113203,49.0,0.0,15.0,51.0,50.0,95.0
1553969139326268591,51.0,0.0,15.0,50.0,51.0,72.0
