%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553886244442229124,38.0,0.0,19.0,44.0,38.0,67.0
1553886244491268023,38.0,0.0,19.0,46.0,37.0,66.0
1553886244544580570,38.0,0.0,19.0,45.0,38.0,66.0
1553886244593916387,38.0,0.0,19.0,44.0,38.0,67.0
1553886244646991033,38.0,0.0,19.0,45.0,39.0,67.0
1553886244700061982,38.0,0.0,19.0,45.0,37.0,66.0
1553886244749581753,39.0,0.0,20.0,45.0,38.0,67.0
1553886244802302712,38.0,0.0,19.0,45.0,39.0,67.0
1553886244855880532,38.0,0.0,20.0,44.0,40.0,67.0
1553886244905075390,37.0,0.0,20.0,45.0,37.0,66.0
1553886244958257878,36.0,0.0,19.0,44.0,38.0,67.0
1553886245007594141,38.0,0.0,20.0,44.0,38.0,66.0
1553886245060673032,38.0,0.0,19.0,44.0,38.0,67.0
1553886245109613013,38.0,0.0,19.0,43.0,37.0,66.0
1553886245163045887,40.0,0.0,19.0,43.0,38.0,66.0
1553886245212512093,36.0,0.0,19.0,43.0,38.0,66.0
1553886245265080900,38.0,0.0,19.0,43.0,38.0,66.0
1553886245318650769,38.0,0.0,19.0,42.0,38.0,64.0
1553886245367858552,39.0,0.0,19.0,42.0,38.0,65.0
1553886245421070462,38.0,0.0,19.0,42.0,38.0,65.0
1553886245469959402,38.0,0.0,19.0,42.0,40.0,65.0
1553886245523487708,40.0,0.0,19.0,41.0,37.0,64.0
1553886245572739555,40.0,0.0,19.0,40.0,38.0,64.0
1553886245625610939,37.0,0.0,19.0,41.0,38.0,64.0
1553886245675231163,38.0,0.0,19.0,42.0,38.0,64.0
1553886245728080834,38.0,0.0,17.0,41.0,38.0,64.0
1553886245777696241,38.0,0.0,19.0,41.0,38.0,63.0
1553886245830824781,37.0,0.0,19.0,40.0,39.0,64.0
1553886245883626185,38.0,0.0,19.0,41.0,37.0,64.0
1553886245932945103,37.0,0.0,18.0,41.0,37.0,64.0
1553886245986139322,38.0,0.0,19.0,41.0,40.0,63.0
1553886246035357733,38.0,0.0,19.0,41.0,38.0,64.0
1553886246088768488,38.0,0.0,19.0,41.0,37.0,64.0
1553886246137714568,40.0,0.0,19.0,39.0,38.0,64.0
1553886246190941333,38.0,0.0,19.0,39.0,38.0,64.0
1553886246240086420,38.0,0.0,19.0,41.0,38.0,64.0
1553886246293380307,38.0,0.0,19.0,42.0,38.0,64.0
1553886246346548373,38.0,0.0,19.0,41.0,38.0,64.0
1553886246397013458,38.0,0.0,19.0,41.0,37.0,64.0
1553886246448978380,37.0,0.0,19.0,41.0,39.0,64.0
1553886246498138170,38.0,0.0,19.0,41.0,37.0,64.0
1553886246551520819,40.0,0.0,19.0,40.0,38.0,64.0
1553886246600571865,38.0,0.0,19.0,41.0,38.0,64.0
1553886246654030453,38.0,0.0,19.0,41.0,38.0,64.0
1553886246703023997,37.0,0.0,19.0,41.0,37.0,64.0
1553886246756263572,39.0,0.0,19.0,39.0,37.0,64.0
1553886246809670654,37.0,0.0,19.0,41.0,37.0,64.0
1553886246858994107,37.0,0.0,19.0,41.0,38.0,64.0
1553886246917714095,37.0,0.0,19.0,41.0,37.0,64.0
1553886246961365445,38.0,0.0,17.0,41.0,38.0,63.0
1553886247014222942,36.0,0.0,19.0,41.0,37.0,64.0
1553886247063412046,37.0,0.0,19.0,41.0,37.0,64.0
1553886247117884840,37.0,0.0,17.0,41.0,37.0,64.0
1553886247170059246,37.0,0.0,17.0,41.0,37.0,64.0
1553886247219609547,38.0,0.0,19.0,41.0,38.0,65.0
1553886247272619736,38.0,0.0,19.0,43.0,37.0,64.0
1553886247322040887,38.0,0.0,19.0,41.0,38.0,63.0
1553886247374720635,35.0,0.0,19.0,41.0,37.0,63.0
1553886247424357362,38.0,0.0,19.0,41.0,38.0,64.0
1553886247477158761,38.0,0.0,19.0,41.0,37.0,64.0
1553886247530427072,39.0,0.0,19.0,40.0,37.0,64.0
1553886247580079520,37.0,0.0,17.0,41.0,38.0,63.0
1553886247632762094,37.0,0.0,19.0,41.0,36.0,64.0
1553886247682002635,38.0,0.0,19.0,41.0,37.0,64.0
1553886247735205953,38.0,0.0,19.0,39.0,37.0,64.0
1553886247784422949,37.0,0.0,19.0,41.0,37.0,64.0
1553886247837529118,37.0,0.0,19.0,41.0,37.0,64.0
1553886247886817830,38.0,0.0,19.0,43.0,37.0,62.0
1553886247940411971,38.0,0.0,19.0,41.0,38.0,63.0
1553886247993211209,37.0,0.0,19.0,41.0,38.0,63.0
1553886248042906484,37.0,0.0,19.0,41.0,37.0,64.0
1553886248095974315,37.0,0.0,19.0,40.0,37.0,63.0
1553886248144936884,37.0,0.0,19.0,39.0,38.0,63.0
1553886248198056339,37.0,0.0,19.0,40.0,38.0,63.0
1553886248247631457,37.0,0.0,19.0,41.0,37.0,64.0
1553886248300911372,38.0,0.0,19.0,42.0,38.0,64.0
