%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969262281517522,42.0,0.0,15.0,45.0,44.0,67.0
1553969262334814637,45.0,0.0,15.0,45.0,45.0,103.0
1553969262384421818,45.0,0.0,15.0,46.0,45.0,65.0
1553969262437207875,44.0,0.0,15.0,45.0,45.0,79.0
1553969262486336437,42.0,0.0,15.0,45.0,43.0,73.0
1553969262539485584,43.0,0.0,15.0,46.0,43.0,68.0
1553969262593168439,42.0,0.0,15.0,46.0,42.0,101.0
1553969262641905116,42.0,0.0,14.0,45.0,43.0,67.0
1553969262695147179,43.0,0.0,15.0,43.0,43.0,102.0
1553969262744333758,44.0,0.0,14.0,23.0,44.0,55.0
1553969262797522283,43.0,0.0,13.0,12.0,43.0,64.0
1553969262847825050,43.0,0.0,13.0,10.0,42.0,53.0
1553969262899916565,43.0,0.0,12.0,5.0,43.0,45.0
1553969262949208914,42.0,0.0,11.0,6.0,43.0,82.0
1553969263003019147,44.0,0.0,13.0,7.0,44.0,40.0
1553969263051560498,44.0,0.0,14.0,6.0,43.0,81.0
1553969263104777732,44.0,0.0,14.0,5.0,44.0,38.0
1553969263158072270,43.0,0.0,13.0,5.0,44.0,50.0
1553969263207181281,43.0,0.0,13.0,5.0,41.0,50.0
1553969263260365229,44.0,0.0,13.0,4.0,42.0,37.0
1553969263309618197,42.0,0.0,11.0,4.0,43.0,79.0
1553969263362919183,41.0,0.0,13.0,5.0,42.0,36.0
1553969263412021580,42.0,0.0,13.0,5.0,42.0,76.0
1553969263465219874,43.0,0.0,13.0,4.0,42.0,36.0
1553969263514458425,43.0,0.0,12.0,5.0,43.0,44.0
1553969263567766491,43.0,0.0,13.0,4.0,42.0,52.0
1553969263620836386,42.0,0.0,13.0,5.0,44.0,37.0
1553969263670079291,42.0,0.0,13.0,6.0,42.0,79.0
1553969263723213058,44.0,0.0,12.0,5.0,43.0,35.0
1553969263772480767,43.0,0.0,13.0,4.0,44.0,73.0
1553969263825658471,43.0,0.0,13.0,4.0,42.0,35.0
1553969263875066433,42.0,0.0,13.0,5.0,42.0,41.0
1553969263928114916,42.0,0.0,13.0,4.0,42.0,63.0
1553969263981315788,43.0,0.0,13.0,4.0,43.0,35.0
1553969264030489243,43.0,0.0,13.0,4.0,42.0,78.0
1553969264083714932,43.0,0.0,13.0,3.0,43.0,33.0
1553969264132958276,43.0,0.0,12.0,4.0,43.0,58.0
1553969264186183874,41.0,0.0,13.0,4.0,43.0,37.0
1553969264239421382,43.0,0.0,13.0,5.0,43.0,35.0
1553969264288661832,43.0,0.0,14.0,4.0,43.0,67.0
1553969264341731894,44.0,0.0,12.0,4.0,44.0,35.0
1553969264391025688,43.0,0.0,13.0,4.0,44.0,77.0
1553969264444304921,43.0,0.0,14.0,4.0,44.0,34.0
1553969264493401663,43.0,0.0,13.0,4.0,42.0,55.0
1553969264546584586,42.0,0.0,13.0,4.0,42.0,38.0
1553969264595820046,43.0,0.0,13.0,5.0,43.0,35.0
1553969264648992478,42.0,0.0,13.0,4.0,42.0,71.0
1553969264698334298,43.0,0.0,13.0,4.0,43.0,34.0
1553969264751439094,44.0,0.0,13.0,3.0,42.0,76.0
1553969264804793680,44.0,0.0,13.0,4.0,44.0,33.0
1553969264853841683,43.0,0.0,13.0,5.0,43.0,52.0
1553969264907014106,43.0,0.0,13.0,4.0,42.0,40.0
1553969264956271789,44.0,0.0,13.0,5.0,44.0,36.0
1553969265009518892,45.0,0.0,13.0,3.0,44.0,73.0
1553969265058790248,43.0,0.0,13.0,5.0,44.0,34.0
1553969265112029919,44.0,0.0,13.0,4.0,44.0,77.0
1553969265161097050,43.0,0.0,13.0,3.0,43.0,32.0
1553969265214300483,44.0,0.0,11.0,5.0,44.0,49.0
1553969265267465797,39.0,0.0,13.0,4.0,41.0,43.0
1553969265316818800,42.0,0.0,14.0,5.0,41.0,35.0
1553969265370133723,41.0,0.0,12.0,4.0,41.0,74.0
1553969265419228592,42.0,0.0,13.0,4.0,41.0,33.0
1553969265472314697,43.0,0.0,13.0,4.0,44.0,76.0
1553969265521550218,44.0,0.0,12.0,4.0,44.0,33.0
1553969265574750812,42.0,0.0,13.0,4.0,42.0,43.0
1553969265623989358,43.0,0.0,13.0,3.0,43.0,45.0
1553969265677291789,43.0,0.0,13.0,4.0,41.0,35.0
1553969265730337391,44.0,0.0,13.0,3.0,44.0,74.0
1553969265779580248,45.0,0.0,13.0,3.0,45.0,32.0
1553969265832907216,44.0,0.0,11.0,3.0,42.0,73.0
1553969265881987644,43.0,0.0,13.0,3.0,43.0,33.0
1553969265935181268,43.0,0.0,13.0,5.0,44.0,40.0
1553969265984398119,41.0,0.0,13.0,3.0,41.0,48.0
1553969266037802321,42.0,0.0,11.0,4.0,41.0,34.0
1553969266086926181,41.0,0.0,12.0,3.0,42.0,76.0
1553969266140020412,44.0,0.0,13.0,6.0,43.0,32.0
1553969266193205033,42.0,0.0,15.0,2.0,42.0,69.0
