%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553969354781591682,36.0,0.0,11.0,1.0,38.0,32.0
1553969354834725171,37.0,0.0,11.0,1.0,36.0,50.0
1553969354883985438,38.0,0.0,11.0,0.0,36.0,35.0
1553969354937182112,36.0,0.0,11.0,0.0,37.0,32.0
1553969354986394152,35.0,0.0,11.0,0.0,35.0,61.0
1553969355039559522,35.0,0.0,11.0,0.0,33.0,32.0
1553969355088819209,36.0,0.0,11.0,0.0,36.0,68.0
1553969355141996813,36.0,0.0,11.0,0.0,36.0,31.0
1553969355191260312,37.0,0.0,11.0,1.0,37.0,48.0
1553969355244447511,36.0,0.0,12.0,0.0,36.0,35.0
1553969355297604462,37.0,0.0,11.0,0.0,37.0,32.0
1553969355346879012,36.0,0.0,11.0,0.0,38.0,63.0
1553969355400189667,36.0,0.0,11.0,0.0,36.0,32.0
1553969355449289477,36.0,0.0,11.0,0.0,35.0,65.0
1553969355502458343,38.0,0.0,11.0,0.0,36.0,31.0
1553969355551696112,36.0,0.0,11.0,0.0,37.0,47.0
1553969355605045327,35.0,0.0,11.0,0.0,36.0,35.0
1553969355654141203,36.0,0.0,11.0,2.0,35.0,32.0
1553969355707314109,36.0,0.0,10.0,0.0,36.0,63.0
1553969355760768199,36.0,0.0,11.0,0.0,36.0,31.0
1553969355809859504,36.0,0.0,11.0,0.0,36.0,65.0
1553969355862936692,35.0,0.0,12.0,0.0,35.0,29.0
1553969355913441909,36.0,0.0,12.0,0.0,35.0,43.0
1553969355965337110,33.0,0.0,11.0,0.0,35.0,34.0
1553969356014651816,36.0,0.0,11.0,0.0,36.0,31.0
1553969356067768124,36.0,0.0,11.0,0.0,36.0,62.0
1553969356117160314,36.0,0.0,11.0,0.0,36.0,29.0
1553969356170197871,37.0,0.0,11.0,0.0,37.0,64.0
1553969356223339083,36.0,0.0,11.0,0.0,36.0,29.0
1553969356272612825,37.0,0.0,11.0,0.0,37.0,41.0
1553969356325965827,35.0,0.0,14.0,0.0,35.0,35.0
1553969356375026507,36.0,0.0,10.0,0.0,36.0,30.0
1553969356428206223,35.0,0.0,11.0,0.0,36.0,63.0
1553969356477662484,36.0,0.0,11.0,0.0,36.0,28.0
1553969356530617794,38.0,0.0,11.0,0.0,37.0,63.0
1553969356579862565,36.0,0.0,11.0,0.0,36.0,28.0
1553969356633190569,35.0,0.0,11.0,0.0,35.0,39.0
1553969356686327222,35.0,0.0,11.0,0.0,33.0,37.0
1553969356735425594,35.0,0.0,11.0,0.0,35.0,30.0
1553969356788640248,34.0,0.0,11.0,0.0,34.0,63.0
1553969356837875200,35.0,0.0,11.0,0.0,35.0,28.0
1553969356891024783,35.0,0.0,12.0,0.0,36.0,63.0
1553969356940258524,35.0,0.0,14.0,0.0,35.0,28.0
1553969356994568814,36.0,0.0,10.0,0.0,36.0,38.0
1553969357042711803,35.0,0.0,11.0,0.0,35.0,38.0
1553969357095912240,35.0,0.0,12.0,0.0,35.0,30.0
1553969357145182808,36.0,0.0,12.0,0.0,36.0,63.0
1553969357198462156,35.0,0.0,12.0,0.0,35.0,29.0
1553969357251535467,35.0,0.0,11.0,0.0,36.0,54.0
