%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1553887381381643908,80.0,0.0,12.0,0.0,80.0,28.0
1553887381430441659,82.0,0.0,12.0,0.0,79.0,28.0
1553887381483737514,80.0,0.0,11.0,0.0,80.0,28.0
1553887381537485577,84.0,0.0,12.0,0.0,83.0,28.0
1553887381586010293,78.0,0.0,13.0,0.0,78.0,27.0
1553887381639566163,81.0,0.0,12.0,0.0,81.0,27.0
1553887381688842915,88.0,0.0,13.0,0.0,88.0,28.0
1553887381741693815,81.0,0.0,14.0,0.0,80.0,28.0
1553887381794980435,86.0,0.0,13.0,0.0,86.0,28.0
1553887381844116683,80.0,0.0,12.0,0.0,80.0,28.0
1553887381897755312,79.0,0.0,11.0,0.0,81.0,28.0
1553887381946791352,88.0,0.0,12.0,0.0,90.0,28.0
1553887382000073276,90.0,0.0,12.0,0.0,89.0,28.0
1553887382049448593,97.0,0.0,13.0,0.0,97.0,27.0
1553887382102733538,84.0,0.0,12.0,0.0,86.0,28.0
1553887382151990480,82.0,0.0,13.0,0.0,81.0,28.0
1553887382204949610,102.0,0.0,12.0,0.0,100.0,28.0
1553887382258160330,94.0,0.0,11.0,0.0,94.0,28.0
1553887382307218160,87.0,0.0,13.0,0.0,88.0,28.0
1553887382360288231,81.0,0.0,13.0,0.0,81.0,26.0
1553887382409572802,81.0,0.0,13.0,0.0,80.0,27.0
1553887382462970504,76.0,0.0,13.0,0.0,77.0,28.0
1553887382512253417,81.0,0.0,13.0,0.0,81.0,28.0
1553887382565368333,82.0,0.0,12.0,0.0,80.0,28.0
1553887382614582347,81.0,0.0,12.0,0.0,79.0,26.0
1553887382667893946,74.0,0.0,11.0,0.0,74.0,27.0
1553887382720991250,72.0,0.0,13.0,0.0,72.0,28.0
1553887382769903806,90.0,0.0,12.0,0.0,90.0,27.0
1553887382823290308,81.0,0.0,13.0,0.0,82.0,27.0
1553887382872711976,85.0,0.0,12.0,0.0,87.0,27.0
1553887382927987022,82.0,0.0,12.0,0.0,81.0,28.0
1553887382974637949,79.0,0.0,12.0,0.0,79.0,26.0
1553887383028075542,71.0,0.0,13.0,0.0,71.0,27.0
1553887383077214763,74.0,0.0,13.0,0.0,74.0,27.0
1553887383130403356,77.0,0.0,14.0,0.0,77.0,26.0
1553887383183694268,78.0,0.0,13.0,0.0,76.0,27.0
1553887383232771105,80.0,0.0,13.0,0.0,78.0,27.0
1553887383286256798,72.0,0.0,15.0,0.0,72.0,27.0
1553887383335658466,83.0,0.0,13.0,0.0,82.0,26.0
1553887383388799436,84.0,0.0,13.0,0.0,84.0,27.0
